tconst	averageRating	numVotes
tt0000121	4.2	112
tt0000122	5.1	32
tt0000169	3.9	57
tt0000524	5.8	831
tt0000615	4.3	27
tt0000858	5.1	39
tt0000986	5.1	125
tt0001071	6.4	16
tt0001211	5.5	50
tt0001234	5.7	45
tt0001613	5.3	171
tt0001680	5.0	662
tt0001741	4.6	26
tt0002056	6.6	243
tt0002280	5.0	55
tt0002423	6.6	1030
tt0002603	4.9	62
tt0003022	5.6	97
tt0003083	5.0	24
tt0003651	6.9	12
tt0004637	5.3	1050
tt0005302	6.4	355
tt0005316	6.1	107
tt0006079	6.0	14
tt0006157	4.1	40
tt0006437	7.5	31
tt0006836	2.3	21
tt0008122	6.7	48
tt0008348	4.9	23
tt0008903	5.1	20
tt0008979	7.6	16
tt0009878	7.0	1538
tt0009976	5.9	736
tt0010058	6.6	35
tt0010495	5.3	17
tt0010654	4.4	21
tt0011525	6.1	77
tt0011833	6.9	629
tt0012006	6.9	50
tt0012645	6.6	163
tt0012998	3.8	26
tt0013716	6.8	23
tt0013909	5.7	380
tt0014171	4.6	82
tt0014203	4.3	17
tt0014774	6.5	46
tt0014869	6.9	700
tt0015229	6.0	32
tt0015662	6.3	81
tt0015691	5.8	74
tt0016594	4.9	198
tt0016646	6.7	644
tt0016653	5.2	28
tt0016670	6.7	12
tt0016998	6.8	16
tt0017067	7.8	29
tt0017075	7.3	13681
tt0017291	5.8	40
tt0017350	7.6	1973
tt0017496	7.8	15
tt0017611	6.2	27
tt0017869	6.5	90
tt0017934	6.2	17
tt0018533	6.6	68
tt0018549	5.4	21
tt0018656	5.3	21
tt0018738	5.9	10
tt0018861	5.7	12
tt0019489	7.0	457
tt0019773	5.4	15
tt0019883	4.8	19
tt0019900	6.5	57
tt0019923	5.0	25
tt0020328	6.9	18
tt0020461	5.4	213
tt0020630	6.5	52
tt0020642	6.9	948
tt0020655	6.4	32
tt0020679	6.0	517
tt0021152	4.9	623
tt0021159	5.8	131
tt0021185	6.6	43
tt0021502	5.7	83
tt0021665	6.0	439
tt0021752	6.2	334
tt0022074	7.1	4168
tt0022236	6.4	1417
tt0022254	6.1	1028
tt0022549	6.1	87
tt0022625	6.9	18
tt0022827	6.4	4346
tt0022850	6.2	18
tt0022854	6.9	1158
tt0022869	6.1	313
tt0023030	5.7	82
tt0023148	5.6	14
tt0023377	7.4	192
tt0023553	7.2	41
tt0023734	5.6	15
tt0023757	8.3	7
tt0023778	5.8	656
tt0023858	7.6	3039
tt0023939	6.7	322
tt0024011	6.5	29
tt0024079	6.5	36
tt0024138	5.4	46
tt0024400	5.8	128
tt0024464	5.7	21
tt0024486	5.3	59
tt0024805	5.0	1161
tt0024834	5.0	68
tt0024949	7.8	15
tt0025102	5.3	18
tt0025214	6.5	539
tt0025250	6.9	608
tt0025366	6.5	644
tt0025385	6.7	319
tt0025389	7.0	23
tt0025497	6.1	311
tt0025750	5.9	73
tt0026007	6.5	747
tt0026310	5.7	161
tt0026417	5.9	776
tt0026443	3.9	30
tt0026492	5.4	86
tt0026786	5.4	16
tt0026897	6.4	298
tt0026986	6.5	750
tt0027018	6.3	221
tt0027321	6.2	92
tt0027374	6.6	11
tt0027484	6.4	384
tt0027729	5.3	16
tt0027901	6.0	28
tt0027915	6.6	26
tt0028041	6.5	12
tt0028094	5.6	24
tt0028100	5.9	239
tt0028354	5.7	377
tt0028567	6.7	250
tt0028623	6.2	254
tt0028646	5.6	296
tt0029188	7.1	1233
tt0029305	7.1	58
tt0029386	6.3	157
tt0029498	5.3	158
tt0029913	6.2	217
tt0029926	6.4	514
tt0029965	6.0	37
tt0030107	6.1	78
tt0030267	5.7	47
tt0030368	6.5	888
tt0030444	6.3	13
tt0030564	5.6	36
tt0030729	6.7	767
tt0030812	7.0	195
tt0031283	6.3	29
tt0031341	6.4	125
tt0031462	5.7	29
tt0031529	7.6	52
tt0031588	6.4	198
tt0031676	6.5	752
tt0031698	5.4	160
tt0031782	4.4	9
tt0031914	5.9	131
tt0031952	6.5	32
tt0032000	5.6	176
tt0032022	6.8	2614
tt0032038	6.2	106
tt0032074	6.6	14
tt0032312	6.0	345
tt0032323	5.8	184
tt0032476	5.7	318
tt0032481	6.5	527
tt0032525	6.7	20
tt0032559	6.6	441
tt0032842	7.2	5739
tt0032940	5.9	54
tt0033069	6.1	40
tt0033355	6.7	594
tt0033392	5.9	88
tt0033409	6.7	1368
tt0033498	6.2	237
tt0033548	5.7	42
tt0033650	6.5	1243
tt0033867	6.7	696
tt0033922	6.3	11514
tt0034333	6.2	241
tt0034401	6.6	269
tt0034678	6.4	142
tt0034816	6.2	11
tt0034959	5.7	833
tt0034975	6.3	22
tt0034986	6.0	44
tt0035239	5.1	52
tt0035311	7.6	53
tt0035368	3.4	54
tt0035564	5.8	348
tt0035686	6.3	20
tt0035890	7.3	248
tt0035958	6.0	1683
tt0035988	5.1	90
tt0036038	6.3	1541
tt0036120	7.1	621
tt0036376	6.1	6335
tt0036647	5.4	54
tt0036654	5.7	30
tt0036691	5.3	40
tt0036966	6.3	167
tt0036977	6.2	191
tt0037041	8.9	10
tt0037077	7.6	8013
tt0037100	5.9	407
tt0037181	7.1	526
tt0037281	6.2	17
tt0037290	7.6	13
tt0037315	5.6	177
tt0037409	5.7	38
tt0037462	7.0	1864
tt0037808	6.0	18
tt0037833	7.2	10
tt0037871	6.5	507
tt0037997	6.3	751
tt0038012	5.8	83
tt0038026	7.0	1818
tt0038374	4.3	131
tt0038395	6.9	2711
tt0038396	7.0	1200
tt0038406	6.0	432
tt0038461	7.1	4258
tt0038562	6.5	72
tt0038673	5.0	116
tt0038729	6.4	210
tt0038937	6.3	3376
tt0038956	6.3	254
tt0039132	6.6	162
tt0039688	6.4	545
tt0039769	6.3	37
tt0039793	7.5	301
tt0039980	6.8	14
tt0040364	6.6	429
tt0040365	6.5	217
tt0040374	6.5	26
tt0040928	7.6	631
tt0040980	7.2	1530
tt0041044	6.7	31
tt0041276	5.1	93
tt0041463	3.5	7
tt0041656	6.7	24
tt0041856	5.7	52
tt0042080	7.3	119
tt0042184	8.1	24
tt0042329	7.8	59
tt0042495	6.3	39
tt0042566	7.4	21
tt0042617	5.7	40
tt0042757	6.9	966
tt0042814	6.5	14
tt0042832	7.2	9005
tt0042870	6.0	244
tt0042886	5.7	213
tt0043292	6.5	1527
tt0043356	6.2	353
tt0043365	7.6	1321
tt0043528	6.1	23
tt0043542	5.5	345
tt0043599	6.5	1521
tt0043726	6.6	478
tt0043817	5.9	29
tt0044043	7.3	47
tt0044213	6.7	50
tt0044248	8.2	99
tt0044250	7.5	36
tt0044346	5.2	64
tt0044351	5.4	23
tt0044393	3.0	7
tt0044403	6.5	299
tt0044441	6.4	292
tt0044456	6.0	476
tt0044558	7.0	785
tt0044656	5.3	951
tt0044705	6.3	107
tt0044949	8.0	33
tt0045047	6.7	155
tt0045067	5.9	177
tt0045083	6.7	187
tt0045218	5.7	168
tt0045276	7.0	408
tt0045489	4.9	16
tt0045494	6.2	1149
tt0045507	7.3	498
tt0045658	4.5	159
tt0045921	6.4	324
tt0045945	5.9	138
tt0045970	5.2	24
tt0046173	5.7	308
tt0046353	6.8	2055
tt0046387	6.3	1029
tt0046669	7.0	16
tt0046670	5.8	22
tt0046801	6.6	1403
tt0046850	5.1	32
tt0046938	4.9	133
tt0046987	5.3	156
tt0047040	6.7	1550
tt0047060	6.3	28
tt0047174	7.1	43
tt0047180	7.6	604
tt0047575	5.9	716
tt0047674	6.5	424
tt0047733	7.2	63
tt0047748	8.0	38
tt0047885	7.4	10008
tt0048219	4.1	42
tt0048226	6.2	90
tt0048265	8.0	16
tt0048339	6.7	2349
tt0048532	5.6	9
tt0048560	7.7	9
tt0048570	6.7	1847
tt0048609	7.9	80
tt0048699	5.4	607
tt0049123	5.0	18
tt0049212	5.4	830
tt0049219	5.6	231
tt0049313	5.5	293
tt0049327	6.5	23
tt0049339	6.1	228
tt0049375	6.3	37
tt0049438	7.0	16
tt0049551	8.2	15
tt0049849	6.3	1600
tt0049964	5.8	2419
tt0049971	5.5	58
tt0050148	6.1	58
tt0050189	5.6	506
tt0050259	7.9	284
tt0050266	5.7	57
tt0050311	6.1	77
tt0050505	6.1	103
tt0050675	5.3	499
tt0050686	5.6	27
tt0051075	7.9	12
tt0051254	7.0	31
tt0051592	6.5	21
tt0051682	5.3	225
tt0051698	6.7	734
tt0051855	7.0	44
tt0052013	6.8	940
tt0052047	5.7	542
tt0052059	6.3	1180
tt0052099	6.8	12
tt0052350	6.1	228
tt0052456	7.5	25
tt0052536	5.7	24
tt0052679	5.3	154
tt0052888	4.3	1600
tt0053115	8.5	7735
tt0053251	7.4	54
tt0053273	6.7	352
tt0053478	8.5	62
tt0053587	7.5	205
